Tue Sep 15 10:00:14 MSK 2015	Global	Guardian Weekly Letters, 18 September 2015	[]
Tue Sep 15 05:19:15 MSK 2015	Australia news	Tony Abbott takes swipe at 'febrile' media in last speech as prime minister	[Tony Abbott, Australian politics, Liberal party, Australia news, Malcolm Turnbull, Arthur Sinodinos, Australian media, Julia Gillard, Kevin Rudd, Labor party, Bill Shorten]
Tue Sep 15 05:18:45 MSK 2015	Sport	Jarryd Hayne's debut as seen in Australia: a fumble, flags and breaks – as it happened	[Jarryd Hayne, NFL, US sports, Australia sport, Sport]
Tue Sep 15 05:16:17 MSK 2015	Australia news	Northern Territory fracking protesters shout down mining minister	[Northern Territory, Fracking, Fossil fuels, Gas, Environment, Australia news, Indigenous Australians]
Tue Sep 15 05:00:08 MSK 2015	Business	UK inflation could fall back to 0%	[Inflation, Business, Economics, Deflation, Bank of England, Mark Carney, Interest rates, UK news, Oil, Petrol prices, Money, Motoring]
Tue Sep 15 05:00:08 MSK 2015	Comment is free	Those who flounce out on Jeremy Corbyn will not escape blame if Labour crashes | Polly Toynbee	[Labour, Politics, UK news, Welfare, Jeremy Corbyn, Labour party leadership]
Tue Sep 15 05:00:07 MSK 2015	Television & radio	Tuesday’s Best TV	[Television, Television & radio, Culture]
Tue Sep 15 04:41:33 MSK 2015	Australia news	No love lost: the quest to find anyone who supports Tony Abbott in Manly	[Tony Abbott, Sydney, New South Wales, Australia news, Australian politics, Malcolm Turnbull, Marriage equality (Australia)]
Tue Sep 15 04:30:07 MSK 2015	Science	Fungus: the stuff of life	[Fungi, Environment, Rural affairs, UK news, Autumn, Biology, Science, Biodiversity, Wildlife, Biochemistry and molecular biology]
Tue Sep 15 04:01:28 MSK 2015	Australia news	Queues form outside Malcolm Turnbull's door to push policies	[Malcolm Turnbull, Liberal party, Australian politics, Tony Abbott, Environment, Health policy, Domestic violence, Education policy, Human rights, Marriage equality (Australia), Australian immigration and asylum, Refugees, Science, Indigenous Australians]
Tue Sep 15 03:35:36 MSK 2015	Australia news	#PutOutYourOnions: Tony Abbott remembered as #LibSpill reaches fever pitch	[Australian politics, Twitter, Social media, Digital media, Internet, Malcolm Turnbull, Tony Abbott]
Tue Sep 15 03:19:16 MSK 2015	Australia news	'Honourable, stoic, loyal': politicians pay tribute to ousted PM Tony Abbott	[Tony Abbott, Australia news, Australian politics, Coalition, Kevin Andrews, Mike Baird, Julie Bishop, Liberal party, Anthony Albanese, Colin Barnett, Malcolm Turnbull, David Leyonhjelm, Nick Xenophon, Richard Di Natale]
Tue Sep 15 03:16:51 MSK 2015	Environment	Elephants electrocuted by sagging power lines | Janaki Lenin	[Wildlife, Conservation, Endangered species, Environment, Animals, India, South and Central Asia]
Tue Sep 15 03:12:21 MSK 2015	Australia news	Labor MPs begin task of challenging Malcolm Turnbull's popularity	[Australian politics, Australia news, Malcolm Turnbull, Tony Abbott, Coalition, Bill Shorten, Labor party, Liberal party]
Tue Sep 15 02:57:43 MSK 2015	News	'We have lost 30 in a row': opinion polls v leadership changes since 2010 – chart	[Australian politics, Tony Abbott, Liberal party, Coalition, Malcolm Turnbull, Julia Gillard, Kevin Rudd, Labor party]
Tue Sep 15 02:30:35 MSK 2015	News	How much are Australia's male and female sports teams paid?	[Australia sport, Australia news, Sport, Women's football, Football, Australia, Rugby league, Rugby union, Hockey, Basketball, Cricket]
Tue Sep 15 02:27:35 MSK 2015	World news	World’s longest continental volcano chain discovered in Australia	[Volcanoes, Australia news, Queensland, New South Wales, Victoria, Science]
Tue Sep 15 01:48:17 MSK 2015	Media	A final victory for Tony Abbott as leadership drama forces Q&A off ABC1	[Australian media, Malcolm Turnbull, Tony Abbott, Australian politics, Andrew Bolt]
Tue Sep 15 01:47:48 MSK 2015	Comment is free	Tony Abbott, the PM for Indigenous affairs, never fully appreciated our culture | Stan Grant	[Indigenous Australians, Australia news, Tony Abbott, Indigenous peoples, Australian politics]
Tue Sep 15 01:30:50 MSK 2015	Environment	With a nip and a bit of tuck Turnbull can bring a touch of green to Direct Action	[Climate change, Environment, Malcolm Turnbull, Tony Abbott, Australian politics, Australia news]
